state,year,sex,abs,deaths_per_100k
Perlis,2019,male,1125,889.3280632
Pulau Pinang,2019,female,4787,544.1627828
Pulau Pinang,2019,male,6109,687.0993139
Sabah,2019,female,6153,329.5308483
Sabah,2019,male,8560,420.1845671
Sarawak,2019,female,6117,454.5589656
Sarawak,2019,male,7908,541.5325618
Selangor,2019,female,11593,370.265091
Selangor,2019,male,16193,479.7783769
Terengganu,2019,female,3134,512.6778996
Terengganu,2019,male,4207,664.4030322
W.P. Kuala Lumpur,2019,female,3662,422.2299089
W.P. Kuala Lumpur,2019,male,5183,566.3243007
W.P. Labuan,2019,female,116,235.2941176
W.P. Labuan,2019,male,182,364
W.P. Putrajaya,2019,female,95,172.4137931
W.P. Putrajaya,2019,male,114,234.5679012
Johor,2020,female,8452,452.3656605
Johor,2020,male,12194,569.4671461
Kedah,2020,female,5977,572.4547457
Kedah,2020,male,7694,707.6243907
Kelantan,2020,female,4692,525.7731959
Kelantan,2020,male,6236,692.8119098
Melaka,2020,female,2372,500.9503696
Melaka,2020,male,3072,585.2543342
Negeri Sembilan,2020,female,2960,513.8888889
Negeri Sembilan,2020,male,4051,649.1987179
Pahang,2020,female,3511,469.9504752
Pahang,2020,male,5175,613.0063966
Perak,2020,female,7773,650.0250878
Perak,2020,male,10173,782.4180895
Perlis,2020,female,877,615.4385965
Perlis,2020,male,1073,754.040759
Pulau Pinang,2020,female,4666,550.300743
Pulau Pinang,2020,male,6035,676.114721
Sabah,2020,female,6050,369.1275168
Sabah,2020,male,8818,495.4489268
Sarawak,2020,female,5887,497.1708471
Sarawak,2020,male,8227,647.9993699
Selangor,2020,female,10549,321.2534641
Selangor,2020,male,14856,400.3449391
Terengganu,2020,female,2855,508.3689459
Terengganu,2020,male,3881,660.1462834
W.P. Kuala Lumpur,2020,female,3522,381.4991334
W.P. Kuala Lumpur,2020,male,4812,454.4338464
W.P. Labuan,2020,female,136,294.3722944
W.P. Labuan,2020,male,183,374.2331288
W.P. Putrajaya,2020,female,93,167.2661871
W.P. Putrajaya,2020,male,118,220.1492537
Johor,2021,female,11402,606.1347084
Johor,2021,male,15549,726.9964466
Kedah,2021,female,8389,794.4881144
Kedah,2021,male,10068,918.7807994
Kelantan,2021,female,6321,700.3102149
Kelantan,2021,male,7605,835.9898868
Melaka,2021,female,3162,662.7541396
Melaka,2021,male,3921,743.4584755
Negeri Sembilan,2021,female,3959,682.7039145
Negeri Sembilan,2021,male,5206,834.0275553
Pahang,2021,female,4257,564.2895016
Pahang,2021,male,6109,721.2514758
Perak,2021,female,9281,769.0586676
Perak,2021,male,12022,918.4110008
Perlis,2021,female,990,687.5
